text_col_1,text_col_2,text_col_3,label
limited money prize credit offer,urgent prize money win offer,urgent win urgent buy urgent,spam
offer prize win limited click,limited limited offer urgent win,prize urgent limited free urgent,spam
meeting meeting discussion team team,client review review reminder team,discussion client client team review,not_spam
free credit buy win money,click click buy limited click,limited buy free prize buy,spam
report meeting review update team,team meeting client update update,discussion reminder review discussion client,not_spam
click free credit offer money,win prize money urgent offer,win limited credit money credit,spam
meeting reminder review report review,team update discussion review project,reminder report reminder meeting project,not_spam
free win credit win limited,prize prize click urgent money,free win money money free,spam
project review discussion review update,client update meeting meeting review,client review discussion report review,not_spam
urgent click limited buy prize,urgent click offer offer buy,buy click urgent win credit,spam
update reminder project team client,team report schedule schedule meeting,schedule team review schedule update,not_spam
win money win credit buy,money buy win offer limited,money limited click win offer,spam
prize urgent buy money prize,buy prize credit credit win,buy money free money offer,spam
discussion schedule reminder review project,reminder team discussion team reminder,discussion project client client meeting,not_spam
win buy buy urgent money,win urgent free limited credit,click win prize money credit,spam
prize win urgent limited money,credit credit urgent offer buy,limited credit credit money credit,spam
project review review update project,review meeting reminder project meeting,team project review report discussion,not_spam
update discussion meeting project schedule,team review client team project,reminder team team discussion discussion,not_spam
review review project schedule client,schedule reminder schedule schedule schedule,discussion team team reminder discussion,not_spam
free urgent win limited prize,limited prize click click credit,win buy click buy click,spam
reminder review project review client,schedule review client review meeting,report discussion project discussion meeting,not_spam
reminder report reminder update report,project reminder team review reminder,meeting client client discussion reminder,not_spam
project update project reminder reminder,team report reminder reminder reminder,update meeting client project reminder,not_spam
limited money buy limited prize,buy free free free buy,click free credit credit money,spam
project update update update client,meeting review project project team,schedule schedule schedule discussion reminder,not_spam
credit offer urgent urgent offer,free win buy money prize,credit win free limited click,spam
schedule project project discussion review,report client report client review,schedule schedule discussion update meeting,not_spam
credit offer money offer money,money money free win money,free click money offer money,spam
report client report meeting report,update discussion team update discussion,client meeting team meeting reminder,not_spam
meeting reminder meeting report discussion,discussion reminder review report reminder,team update reminder team review,not_spam
client review team project client,client discussion schedule meeting meeting,schedule review client client update,not_spam
win click limited credit free,prize buy credit prize offer,click free offer money credit,spam
credit buy click click prize,offer money click prize credit,win money urgent win win,spam
urgent click win offer limited,prize limited urgent buy buy,limited limited urgent credit win,spam
free win credit buy prize,win credit prize limited money,limited money free click click,spam
reminder update meeting discussion project,schedule review review update project,discussion discussion client report update,not_spam
limited offer limited limited free,limited buy click urgent click,limited money credit win money,spam
click money buy offer limited,buy prize limited win buy,money click free click limited,spam
report project team team update,report review review schedule update,reminder review report project discussion,not_spam
credit buy limited money urgent,offer offer prize limited urgent,credit buy prize click credit,spam
money win urgent urgent urgent,buy buy offer money offer,money click limited offer prize,spam
update reminder project meeting project,project client update schedule team,team report client reminder schedule,not_spam
update review update discussion meeting,team client meeting meeting project,report report discussion client update,not_spam
money offer click prize prize,buy offer offer limited prize,money offer limited win limited,spam
discussion discussion team meeting project,schedule update team update team,discussion project reminder discussion client,not_spam
meeting report update team discussion,reminder team discussion meeting schedule,reminder report team reminder report,not_spam
review meeting review discussion discussion,meeting project discussion review discussion,team project meeting team team,not_spam
free free buy money buy,offer win offer money win,win click win offer limited,spam
reminder client project team project,team report meeting report report,report meeting schedule schedule review,not_spam
project project team reminder team,review update team team update,update reminder project team reminder,not_spam
win limited limited click urgent,buy money click win prize,win free money money money,spam
client reminder report discussion report,schedule review update discussion report,report review schedule review discussion,not_spam
meeting reminder report report client,reminder review client discussion team,update client review meeting discussion,not_spam
team review meeting reminder review,team discussion reminder report meeting,schedule client client client client,not_spam
win credit money money win,offer free buy limited free,limited free win buy click,spam
buy buy urgent win win,prize free prize urgent urgent,free limited click free free,spam
reminder schedule report project review,report meeting review project client,team discussion schedule discussion update,not_spam
free prize free win buy,click prize money urgent money,urgent money win prize urgent,spam
discussion schedule review meeting project,project team project review client,report project team project review,not_spam
review reminder client report project,team report meeting team meeting,project update reminder client report,not_spam
report update report meeting meeting,discussion schedule schedule client project,report discussion discussion client project,not_spam
credit prize win prize offer,credit money limited free prize,credit click limited buy win,spam
report reminder discussion schedule update,client team discussion review project,project schedule schedule meeting team,not_spam
money win credit click click,prize limited urgent offer limited,credit limited limited prize free,spam
schedule discussion update discussion review,report client schedule report report,review update meeting client schedule,not_spam
team reminder team meeting discussion,discussion discussion report review team,meeting client schedule report schedule,not_spam
prize win money money buy,win urgent offer offer credit,buy free prize buy offer,spam
schedule review project review project,reminder schedule review schedule team,reminder project team team review,not_spam
urgent credit offer buy free,click urgent offer urgent prize,limited buy free offer win,spam
project team update project discussion,discussion project reminder project client,meeting review report discussion review,not_spam
buy urgent prize offer free,credit money win limited win,free click offer money urgent,spam
discussion review update review team,client client discussion schedule meeting,update reminder report project report,not_spam
client reminder reminder reminder project,update client team review discussion,reminder discussion meeting meeting schedule,not_spam
offer credit money urgent money,buy credit offer money urgent,click win money click prize,spam
team review update review meeting,review discussion update meeting meeting,report report review team discussion,not_spam
project discussion discussion project reminder,client discussion discussion project project,discussion schedule update discussion meeting,not_spam
schedule meeting discussion client meeting,report team report client team,schedule project client discussion schedule,not_spam
meeting update schedule report team,project reminder update client reminder,discussion report team report discussion,not_spam
offer win money limited free,prize limited limited offer buy,click prize win money offer,spam
money win urgent buy money,buy credit free limited credit,click offer buy click win,spam
update reminder meeting review update,discussion project client schedule report,meeting reminder discussion meeting reminder,not_spam
client discussion team reminder meeting,meeting project update meeting client,report reminder schedule schedule team,not_spam
discussion discussion team schedule meeting,schedule discussion client project project,report report client reminder schedule,not_spam
click free free urgent prize,urgent offer prize win offer,click win money urgent click,spam
meeting report report discussion schedule,report update project meeting update,reminder project update team review,not_spam
client schedule update meeting meeting,reminder report project reminder update,team meeting report project client,not_spam
team meeting review project schedule,project schedule update meeting review,schedule schedule report client meeting,not_spam
free free prize money urgent,prize credit limited credit win,money buy limited money win,spam
win click prize credit offer,limited money credit limited limited,free urgent click prize limited,spam
limited click prize credit win,prize prize free money prize,urgent limited offer credit limited,spam
client project reminder update report,team report meeting schedule schedule,client meeting reminder schedule project,not_spam
reminder update team meeting client,reminder discussion update update reminder,team reminder team project team,not_spam
free limited credit limited urgent,free limited urgent limited credit,click money free win urgent,spam
credit limited limited win limited,limited offer urgent limited limited,click money limited free credit,spam
limited free prize offer credit,urgent prize buy click click,offer click free offer win,spam
reminder update report team client,project report update review review,project meeting update schedule team,not_spam
meeting project team discussion client,update meeting client review report,meeting reminder project update project,not_spam
click free urgent credit credit,click click click offer money,prize free win buy click,spam
review project meeting project schedule,meeting update team team report,review meeting client project update,not_spam
buy click buy click click,offer credit urgent offer win,money limited money money prize,spam
report client update report update,report meeting reminder discussion client,reminder update review review project,not_spam
project reminder reminder update project,report reminder report reminder review,update schedule reminder reminder meeting,not_spam
win win click buy prize,credit urgent money buy buy,free money credit limited limited,spam
project schedule client team report,team report review meeting schedule,project review review meeting update,not_spam
click credit limited prize offer,prize win click buy urgent,offer prize free limited buy,spam
schedule report review project schedule,update discussion discussion update update,client project team client project,not_spam
update meeting project update update,schedule report reminder discussion schedule,update client review project meeting,not_spam
money free prize money win,free prize credit urgent click,win free money limited prize,spam
review schedule report meeting discussion,discussion meeting reminder review review,meeting schedule update team reminder,not_spam
report team team schedule report,review update team project client,review update team review review,not_spam
free offer limited urgent prize,click credit prize click free,credit prize prize prize urgent,spam
review discussion review reminder schedule,report team meeting discussion client,project discussion schedule client discussion,not_spam
review client update update update,project meeting project schedule update,discussion project review team meeting,not_spam
credit win credit win click,click prize buy prize money,limited offer prize money prize,spam
click offer prize free click,buy money limited buy win,credit credit buy urgent free,spam
meeting schedule discussion project discussion,report discussion meeting review review,report reminder team meeting project,not_spam
offer win prize free urgent,urgent click urgent win free,win money free prize click,spam
credit money win prize limited,win limited win free limited,limited buy click credit free,spam
client project team review meeting,update schedule client meeting reminder,review review meeting review report,not_spam
money buy free urgent urgent,win urgent urgent click urgent,free prize free credit free,spam
free free free click money,click credit click offer buy,click limited win offer urgent,spam
update review project meeting client,discussion project schedule schedule reminder,schedule report meeting project meeting,not_spam
prize win credit offer credit,offer prize urgent free win,buy urgent prize offer prize,spam
buy limited click win prize,credit urgent credit free urgent,offer limited free buy money,spam
review project team team meeting,review update reminder project reminder,project report meeting schedule team,not_spam
review discussion client client reminder,review team client discussion meeting,review schedule team review team,not_spam
client reminder meeting review project,update update update meeting report,schedule reminder meeting schedule review,not_spam
click buy prize buy prize,buy free buy urgent free,buy money offer offer urgent,spam
team client schedule review reminder,team meeting schedule report client,review report review discussion project,not_spam
schedule team update reminder schedule,client discussion meeting project project,discussion discussion project review project,not_spam
team report discussion discussion project,report reminder update client discussion,report review reminder project report,not_spam
meeting reminder update report client,reminder project client discussion project,team review update client team,not_spam
reminder discussion schedule reminder reminder,report project report discussion discussion,schedule discussion update discussion reminder,not_spam
schedule review schedule team review,reminder review reminder client review,team project team report client,not_spam
report discussion update schedule update,update client meeting project review,project discussion project schedule schedule,not_spam
review schedule discussion meeting update,project update discussion update discussion,client schedule discussion discussion schedule,not_spam
reminder team reminder reminder team,client meeting schedule review discussion,update update reminder discussion review,not_spam
client review discussion reminder schedule,project review project project client,team report client project client,not_spam
win credit free free win,offer limited urgent urgent buy,money win credit win click,spam
offer money buy money offer,click click win win click,credit money limited prize limited,spam
urgent buy limited urgent urgent,limited urgent win limited limited,win money click limited prize,spam
prize buy offer prize free,money limited free limited money,offer offer urgent credit prize,spam
free money credit limited credit,urgent limited credit free buy,win offer offer credit money,spam
schedule schedule team review report,meeting review client review review,discussion client discussion meeting reminder,not_spam
credit win offer credit buy,win urgent buy money free,win credit money limited free,spam
reminder discussion discussion team reminder,client client project meeting client,client reminder team discussion reminder,not_spam
buy urgent money free click,prize free free credit prize,prize limited limited buy money,spam
offer offer credit buy win,free urgent free urgent limited,win buy urgent win money,spam
team team report meeting schedule,schedule discussion report update project,discussion update report team team,not_spam
project review update update project,client schedule update meeting meeting,meeting client meeting client report,not_spam
reminder client client reminder report,discussion team schedule discussion discussion,schedule report client team client,not_spam
update update review project client,report project reminder review reminder,discussion report team schedule report,not_spam
win offer click limited win,buy buy offer limited win,credit money prize prize click,spam
project review team review update,client team reminder client team,update report report review client,not_spam
free offer urgent click free,win credit free click prize,credit buy buy click free,spam
meeting meeting client project review,meeting client meeting schedule project,reminder client client meeting discussion,not_spam
schedule meeting report reminder update,project update review discussion update,project review schedule discussion team,not_spam
money click win free click,prize money buy free offer,buy urgent offer credit money,spam
buy free urgent prize prize,credit urgent money win offer,money click prize credit win,spam
discussion discussion review meeting project,report schedule update schedule update,report project discussion discussion client,not_spam
offer urgent urgent win win,free urgent click prize buy,win click urgent credit buy,spam
report team client schedule team,team discussion discussion update review,discussion report review project schedule,not_spam
win money urgent credit free,limited offer offer free limited,buy offer click offer offer,spam
limited urgent money credit money,limited prize urgent buy click,urgent prize click offer money,spam
schedule project meeting schedule meeting,project reminder discussion team team,client client discussion meeting meeting,not_spam
prize limited win limited click,urgent free limited money click,buy free offer click limited,spam
reminder update update client review,reminder client discussion discussion reminder,report report client meeting project,not_spam
urgent limited urgent click win,limited money offer prize click,offer urgent prize offer limited,spam
win prize click limited urgent,limited buy free credit prize,click click click urgent free,spam
limited urgent urgent urgent credit,money offer buy urgent buy,limited prize prize buy limited,spam
schedule schedule client meeting discussion,report client client team review,project reminder review report review,not_spam
click money win urgent click,money click buy urgent win,buy click credit win prize,spam
free free money click offer,click click buy win free,limited free prize free buy,spam
update client discussion discussion team,client client team review meeting,update report review report team,not_spam
money limited click offer free,prize limited free money urgent,free credit win urgent buy,spam
update team schedule review project,project update team review client,update meeting project schedule team,not_spam
click urgent click buy prize,win money limited buy free,offer credit urgent limited credit,spam
free free offer prize money,offer win credit offer click,free urgent prize win click,spam
urgent free prize offer urgent,prize win buy limited money,click buy limited urgent free,spam
review review client client review,team team client update report,team schedule team meeting update,not_spam
team report meeting reminder reminder,report meeting report schedule schedule,meeting team report client team,not_spam
credit win win click buy,click credit limited prize urgent,click credit prize buy prize,spam
click urgent urgent click urgent,free offer offer money free,free click credit credit click,spam
buy win win credit limited,buy credit win prize limited,offer credit offer buy free,spam
update update project discussion schedule,discussion report discussion meeting report,discussion client reminder report review,not_spam
win urgent offer limited money,click urgent free prize prize,click free urgent win free,spam
free credit offer offer credit,buy money win offer free,offer urgent limited limited urgent,spam
urgent credit credit free click,limited credit credit prize buy,free urgent win free prize,spam
buy click urgent free free,win credit click prize limited,money offer free click click,spam
offer urgent win free offer,prize credit click credit urgent,money win money buy money,spam
team review project client meeting,update project update schedule report,meeting client update review client,not_spam
schedule team review meeting reminder,schedule report update meeting update,meeting client reminder report team,not_spam
update schedule meeting meeting team,reminder reminder meeting discussion client,project client schedule review project,not_spam
report project review team report,review update project project report,team project reminder report team,not_spam
limited win win credit buy,credit urgent money click credit,limited click limited buy win,spam
reminder client client reminder team,team schedule update meeting update,review schedule client client reminder,not_spam
offer win free win money,click prize offer win limited,credit credit credit free prize,spam
client reminder client team discussion,client meeting meeting discussion team,update report update update schedule,not_spam
review meeting discussion team team,meeting client project client schedule,meeting discussion team report client,not_spam
schedule schedule team project meeting,client meeting team meeting client,discussion project project client report,not_spam
project review discussion schedule meeting,discussion team reminder meeting review,report team team client meeting,not_spam
limited urgent limited buy free,offer prize free win credit,prize free offer limited limited,spam
update meeting review project report,meeting schedule client schedule client,schedule report discussion project review,not_spam
money urgent offer free click,credit urgent offer urgent offer,win click prize urgent prize,spam
prize urgent click win limited,offer win prize money free,money buy limited offer click,spam
team team project team team,review schedule reminder client update,review update update update meeting,not_spam
schedule project update review meeting,team reminder review review schedule,schedule project reminder reminder team,not_spam
schedule project client update update,team discussion client project reminder,reminder project reminder reminder team,not_spam
